Operation,UserID,FullName,Email,PhoneNumber,VisitCount,TotalSpent,Choice,NewValue
Create,201,Rajesh Kumar,rajesh.kumar@example.com,9876543210,15,2450.75,,
Create,202,Ananya Sharma,ananya.sharma@example.com,8765432109,8,1850.25,,
Read,201,,,,,,,
Update,202,,,,,,1,Priya Sharma
Create,203,Arjun Patel,arjun.patel@example.com,7654321098,12,3150.25,,
Update,201,,,,,,3,6543210987
Read,202,,,,,,,
Update,203,,,,,,4,4200.5
Create,204,Priya Sharma,priya.sharma@example.com,6543210987,9,1850.5,,
Delete,201,,,,,,,
Read,203,,,,,,,
Update,204,,,,,,2,priya.new@example.com
Create,205,Rahul Verma,rahul.verma@example.com,5432109876,20,4600.2,,
Read,204,,,,,,,
Update,205,,,,,,1,Rahul Kapoor
Delete,202,,,,,,,
Read,205,,,,,,,
Update,203,,,,,,2,arjun.new@example.com
Create,201,Rajesh Kumar New,rajesh.new@example.com,9876543211,10,3250.75,,
Read,204,,,,,,,
Create,101,Olivia Bennett,olivia.bennett@email.com,555-101-0001,5,100,,
Read,101,Olivia Bennett,,,,,,
Update,101,,,,,,2,olivia.b@newmail.com
Update,101,,,,,,4,150
Delete,101,,,,,,,
Create,101,Olivia Bennett,olivia.bennett@email.com,555-101-0001,5,100,,
Create,102,Liam Carter,liam.carter@email.com,555-102-0002,3,200,,
Read,102,Liam Carter,,,,,,
Update,102,,,,,,1,Liam C.
Update,102,,,,,,3,555-102-9999
Delete,102,,,,,,,
Create,102,Liam Carter,liam.carter@email.com,555-102-0002,3,200,,
Create,103,Emma Foster,emma.foster@email.com,555-103-0003,7,300,,
Read,103,Emma Foster,,,,,,
Update,103,,,,,,4,350
Delete,103,,,,,,,
Create,103,Emma Foster,emma.foster@email.com,555-103-0003,7,300,,
Create,104,Noah Gray,noah.gray@email.com,555-104-0004,2,400,,
Read,104,Noah Gray,,,,,,
Delete,104,,,,,,,
Create,104,Noah Gray,noah.gray@email.com,555-104-0004,2,400,,
Create,105,Ava Hayes,ava.hayes@email.com,555-105-0005,4,500,,
Read,31,Rachel Harris,,,,,,
Update,31,,,,,,4,5000
Delete,31,,,,,,,
Read,32,Christina Guerrero,,,,,,
Update,32,,,,,,2,christina.g@newmail.com
Delete,32,,,,,,,
Read,33,Joshua Le,,,,,,
Update,33,,,,,,3,555-333-1618
Delete,33,,,,,,,
Read,34,Jessica Bradshaw,,,,,,
Read,15,Emily Wood,,,,,,
Update,15,,,,,,1,Emily W.
Update,15,,,,,,2,emily.wood@update.com
Update,15,,,,,,3,555-111-2222
Update,15,,,,,,4,4100
Read,15,Emily Wood,,,,,,
Delete,15,,,,,,,
Read,16,Elizabeth Gonzalez,,,,,,
Update,16,,,,,,1,Elizabeth G.
Update,16,,,,,,2,eliz.gonzalez@update.com
Update,16,,,,,,3,555-222-3333
Update,16,,,,,,4,1700
Read,16,Elizabeth Gonzalez,,,,,,
Delete,16,,,,,,,
Read,17,Eric Chaney,,,,,,
Update,17,,,,,,1,Eric C.
Update,17,,,,,,2,eric.chaney@update.com
Update,17,,,,,,3,555-333-4444
Update,17,,,,,,4,3400
Read,17,Eric Chaney,,,,,,
Delete,17,,,,,,,
Read,20,Tonya Monroe,,,,,,,
Update,21,,,,,,1,Jerry Ramirez Updated
Delete,22,,,,,,,,
Read,23,David Smith,,,,,,,
Update,24,,,,,,2,jacksonamanda.updated@bridges.net
Delete,25,,,,,,,,
Read,26,Cheryl Butler,,,,,,,
Update,27,,,,,,3,555-000-0027
Delete,28,,,,,,,,
Read,29,Brianna Tyler,,,,,,,
Update,30,,,,,,4,308.17
Delete,20,,,,,,,,
Read,21,Jerry Ramirez,,,,,,,
Update,22,,,,,,1,Patricia Roman Updated
Delete,23,,,,,,,,
Read,24,Kevin Hall,,,,,,,
Update,25,,,,,,2,jeromejohnson.updated@wilson.org
Delete,26,,,,,,,,
Read,27,Jamie Gallegos,,,,,,,
Update,28,,,,,,3,555-000-0028
Delete,29,,,,,,,,
Read,30,Donald Bryant,,,,,,,
Update,20,,,,,,4,396.46
Delete,21,,,,,,,,
Read,22,Patricia Roman,,,,,,,
Update,23,,,,,,1,David Smith Updated
Delete,24,,,,,,,,
Read,25,Rebecca Townsend,,,,,,,
Update,26,,,,,,2,jmoran.updated@gmail.com
Delete,27,,,,,,,,
Read,28,Thomas Mason,,,,,,,
Update,29,,,,,,3,555-000-0029
Delete,30,,,,,,,,
Read,20,Tonya Monroe,,,,,,,
Update,21,,,,,,4,3456.00
Delete,22,,,,,,,,
Read,23,David Smith,,,,,,,
Update,24,,,,,,1,Kevin Hall Updated
Delete,25,,,,,,,,
Read,26,Cheryl Butler,,,,,,,
